V#,Vulnerability Name,Web URL,Vulnerability Rating,Description,Impact,Recommendation,Reference
1,Lack of Rate Limiting on WordPress Login,http://172.25.7.4,High,"The WordPress login page (/wp-login.php) lacks rate limiting, allowing attackers to perform brute-force attacks to guess credentials without facing restrictions.","Successful brute-force attacks can compromise user accounts, granting attackers unauthorized access to sensitive data and website functionality.  This can lead to data breaches, financial losses, reputational damage, and legal consequences.",Implement rate limiting on login attempts using a plugin or by modifying the WordPress code.  Enable two-factor authentication for added security.,https://www.wpbeginner.com/plugins/how-and-why-you-should-limit-login-attempts-in-your-wordpress/
2,WordPress Cron Job Vulnerability (DoS),http://172.25.7.4,High,"The wp-cron.php file, responsible for scheduling WordPress tasks, is enabled and could be exploited for Denial of Service (DoS) attacks.  Attackers might flood the server with cron requests, exhausting resources and making the site unavailable.","A successful DoS attack can render the WordPress website unavailable to legitimate users, disrupting business operations and damaging reputation.  The severity depends on the attacker's resources and the website's ability to withstand the attack.  Prolonged outages can lead to significant financial losses.","Disable the default wp-cron.php functionality and utilize a more secure method for scheduling tasks, such as a third-party plugin or a server-side cron job.",https://www.tenable.com/plugins/was/113449
3,XML-RPC Leads to Unauthenticated Blind SSRF,http://172.25.7.4,High,"The application has XMLRPC vulnerability, Using a simple POST request to the xmlrpc.php endpoint, I was able to bypass input validation and send a request to an external URL.","The vulnerability could be used to conduct further attacks, such as accessing internal systems or exfiltrating sensitive data.",Disable XML-RPC or use a plugin to restrict access to the XML-RPC functionality.  Regularly update WordPress and plugins to mitigate vulnerabilities.,"https://www.sonarsource.com/blog/wordpress-core-unauthenticated-blind-ssrf/
https://nitesculucian.github.io/2019/07/01/exploiting-the-xmlrpc-php-on-all-wordpress-versions/"
4,Directory Listing Vulnerability,http://172.25.7.4,Medium,"Directory listing is enabled for the /wp-content/uploads/ directory. While no sensitive files were found, this could potentially expose sensitive files or information in the future.","Exposure of sensitive files could lead to information disclosure, which could be used for further attacks or compromise user privacy.  The impact is mitigated by the absence of currently sensitive files.",Disable directory listings by configuring the web server to prevent it. Regularly review the contents of the /wp-content/uploads/ directory for sensitive data.,https://www.invicti.com/blog/web-security/disable-directory-listing-web-servers/
5,Lack of Rate Limiting on Contact Form,http://172.25.7.4,Medium,"The contact form lacks rate limiting, making it susceptible to brute-force or spam attacks.","Unlimited submissions can overwhelm the server, leading to a denial-of-service condition.  It can also be exploited to send large amounts of spam email or other malicious content.",Implement rate limiting on the contact form using a plugin or custom code.  Add CAPTCHA or honeypot fields to deter automated submissions.,https://learn.snyk.io/lesson/no-rate-limiting/
6,Banner Grabbing Vulnerability,http://172.25.7.4,Medium,"Banner grabbing reveals the server's software versions and other information, providing attackers with potential attack vectors.",Revealing server information can help attackers identify vulnerabilities specific to the server software.  This information can be used to plan more targeted attacks.,Minimize the information disclosed by the server.  Regularly update server software to patch known vulnerabilities.,https://emeritus.org/blog/cybersecurity-banner-grabbing/
7,Username Enumeration via WordPress REST API,http://172.25.7.4,Medium,The WordPress REST API may allow attackers to enumerate usernames by checking for the existence of specific usernames.,Successful username enumeration reduces the attacker's workload when attempting to guess passwords during brute-force attacks.,Restrict access to the REST API.  Implement input validation and rate limiting on the API endpoints.,https://www.acunetix.com/vulnerabilities/web/wordpress-rest-api-user-enumeration/
8,Username Enumeration via wp-login.php,http://172.25.7.4,Medium,The wp-login.php page may reveal information about usernames upon failed login attempts.,"This information aids attackers during brute-force attacks, potentially leading to unauthorized access.",Implement error handling to prevent the disclosure of username existence.  Use a strong password policy and enforce multi-factor authentication.,https://melapress.com/user-enumeration-wordpress/
9,Outdated and Vulnerable WordPress Plugins,http://172.25.7.4,Medium,"The application is using outdated versions of WordPress plugins, specifically WPBakery Page Builder (js_composer v8.6.1) and Slider Revolution (revslider), which contain publicly known vulnerabilities. Security analysis identified multiple issues in WPBakery versions prior to 8.7, including Stored Cross-Site Scripting (XSS) via custom heading shortcode, custom JavaScript modules, and contributor-level stored XSS.","Exploitation of these vulnerabilities could allow attackers to inject malicious scripts (Stored XSS), leading to session hijacking, defacement, or redirection to malicious sites. The Arbitrary File Read vulnerability in Slider Revolution may allow attackers to access sensitive server files, potentially exposing configuration files, credentials, or other critical data.","It is strongly recommended to immediately update all outdated plugins to their latest secure versions (WPBakery ≥ 8.7 and Slider Revolution ≥ 6.7.38). Regular patch management should be implemented to ensure plugins, themes, and core components are always up to date. Remove any unused or unnecessary plugins to reduce the attack surface.",WordPress Plugin Security Best Practices
10,Unauthenticated Exposure of WordPress REST API Endpoints,http://172.25.7.4,Medium,"The application exposes internal endpoints through the WordPress REST API (/wp-json/wp/v2/pages/) without proper access restrictions. By accessing this endpoint, an attacker can enumerate sensitive application paths such as /my-account/, /cart, and /checkout. These endpoints are intended for authenticated or user-specific interactions but are publicly discoverable via the API response.","The exposure of hidden or sensitive endpoints allows attackers to gain insight into the application's structure and functionality. This information can be leveraged to perform targeted attacks such as brute force attempts on login pages (/my-account/), manipulation of cart/checkout workflows, or further enumeration of APIs.","Restrict access to the WordPress REST API endpoints by implementing proper authentication and authorization controls. Disable unnecessary endpoints or limit their exposure using security plugins or server-side configurations. Ensure that sensitive routes such as account, cart, and checkout pages are not publicly exposed via APIs.",https://savvy.co.il/en/blog/wordpress-security/secure-wordpress-rest-api/
